,sample,set,dna,Log Copy Number,Cycle Threshold,r2
24,Std3,3,100000.0,11.512925465,25.01,0.949294469773
25,Std3,3,100000.0,11.512925465,24.84,0.949294469773
26,Std3,3,100000.0,11.512925465,24.87,0.949294469773
27,Std2,3,1000000.0,13.815510558,20.38,0.949294469773
28,Std2,3,1000000.0,13.815510558,21.74,0.949294469773
29,Std2,3,1000000.0,13.815510558,21.32,0.949294469773
30,Std1,3,10000000.0,16.118095651,18.73,0.949294469773
31,Std1,3,10000000.0,16.118095651,16.52,0.949294469773
32,Std1,3,10000000.0,16.118095651,18.4,0.949294469773
33,Test,3,20882915.9584,16.8544419644,16.43,0.949294469773
34,Test,3,24704674.4375,17.0225030322,16.16,0.949294469773
35,Test,3,47197400.1407,17.6698493673,15.12,0.949294469773
